pname,ptype,plonginfo,ptransport,paddress,pcontactno,pbizhour,prestaurant,paccommodation
석촌호수공원,산책로,"""호수의 면적은 21만 7,850㎡이며 담수량은 636만t, 평균수심은 4.5m이다. 호수 조성 후 송파대로(서울 송파구의 남북을 가로지르는 간선도로)가 호수를 가로질러 가게 되면서부터 동호(東湖, 10만 5,785㎡)와 서호(西湖, 11만 2,065㎡)로 구분됐다. 동호와 서호를 합친 호수 둘레는 2.5km에 달한다. 석촌호수가 있는 곳은 본래 송파나루터가 있었던 한강의 본류였다. 송파나루터는 고려와 조선 왕조에 이르는 동안 한성과 충청도, 전라도, 경상도로 이어지는 중요한 뱃길의 요지였다고 한다. 현재 석촌호수 동호에는 송파나루터라는 표석이 세워져 있다. 과거에 잠실 쪽 한강에는 토사가 쌓여 형성된 부리도(浮里島)라는 섬이 있었는데, 부리도를 중심으로 남쪽 물길과 북쪽 물길 즉 송파강과 신천강을 이루는 샛강이 흘렀다. 1971년 4월 부리도의 북쪽 물길을 넓히고, 남쪽 물길을 폐쇄함으로써 섬을 육지화하는 대공사(한강 공유수면 매립사업)가 시작되었고, 그때 폐쇄한 남쪽 물길이 바로 현재의 석촌호수로 남게 된 것이다. 당시의 매립공사로 생겨난 땅이 현재의 잠실동과 신천동이다. 1970년대에는 볼품없던 호수였으나 1981년 호수 주변에 녹지를 조성하고 산책로와 쉼터 등을 설치하여 공원(송파나루공원)으로 만들면서부터 시민들의 휴식공간이 되었다. 한동안 수질악화와 악취로 외면 받기도 했으나 2001년부터 송파구가 석촌호수를 명소화 사업대상지로 선정하여 대대적인 정비사업을 벌인 후부터 수질이 많이 개선되었다. 2.5km의 호안 중 1.88km의 콘크리트 호안시설을 철거하고 대신 수생식물을 심어 생태호안으로 바꾸었고, 한강물 순환체계를 구축함으로써 생태가 복원되기 시작하였다.""","2호선, 8호선 잠실역 지하도(석촌호수 방향)
버스 6, 21, 21-2, 56-2, 63-1, 65, 212, 415, 555-2, 569, 812, 812-1, 813, 30, 64, 64-1. 933, 906, 1001, 1002, 1116, 1117",서울특별시 송파구 석촌호수로 197 (잠실3동 47),02-2147-3380(송파구 푸른도시과),24시간 연중무휴,"오쓰세이로무시 : 방탄소년단 멤버 진의 형이 운영하는 일본식 찜요리 전문점 (02-419-2222) 
삼광호수 : 숯불돼지갈비를 깔끔하게 즐길 수 있는, 40년 전통의 수제 돼지갈비집 (02-414-2512)
진대감집 : 차돌삼합이 유명하지만 여러 색다른 메뉴의 한식을 함께 즐길 수 있는 맛집(02-416-2472)
라라브레드 : 깔끔하고 넓은 매장과 다양한 브런치 메뉴가 있는 식빵 전문점(1800-1990)","롯데호텔월드 : 송파구 올림픽로 240(02-419-7000)
시그니엘 서울 : 송파구 올림픽로 300 롯데월드타워 76-101층(02-3213-1000)
로사나 부띠끄 호텔 : 송파구 삼학사로 98(02-2143-3000)"
신촌물총축제,레저,"""신촌 물총 축제는 '축제로 대한민국을 더 즐겁게 만들자'는 비전 아래 대한민국 신촌을 시작으로 진행되고 있으며, 여름의 열기를 날려버릴 수 있는 도심 속 피서 축제이다. 7월 첫 주말을 맞은 7~8일 신촌 연세대로 일대에서 ‘제 6회 신촌 물총 축제’가 열렸다. 이번 축제는 ‘로봇(안드로이드)과 인간의 한판 물총 대결’이라는 콘셉트로 진행됐는데 연세로 중앙에 설치된 로봇 모양의 무대를 중심으로 다양한 퍼포먼스와 물총 싸움이 전개됐다. 이렇게 매년 열리고 있는 신촌 물총 축제는 서울의 대표적인 여름 축제로 자리 잡고 있지만 다른 한편에선 불만과 비난의 목소리도 높아지고 있다. 축제 당일 신촌 지하철 역사에서는 가판을 깔아놓고 물총을 파는 사람들이 가장 먼저 눈에 들어왔다. 역사 내 편의점에서도 물총을 팔고 있었다. 지하철역 인근에 위치한 생활용품 매장에는 물총과 방수팩을 사기 위해 길게 줄을 선 행렬도 보였다. 축제에 참가한 시민들은 서로를 향해 물총을 쏘며 한 여름의 더위를 잠시 잊는 모습이었다. 그러나 문제는 행사장과 인도가 사실상 구분이 되어있지 않아 일반 시민들과 상인들에게 피해가 간다는 점이다.""","2호선 신촌역 2번 출구 시작
버스 2000, 3000, 3000A, 153, 5713, 7024, 1400, 1500, M6724 (마을버스) 서대문03, 서대문04, 서대문05",서울특별시 서대문구 연세로5나길 19 창천동노인회,1522-9223(무언가 관리자),"첫째 날 11:00-21:00 
둘째 날 11:00-19:00
※그 해 행사에 따라 다름 /","맨도롱식당 : 제주도를 가지 않고도 제주 현지 음식을 맛볼 수 있는 제주음식 전문점 (02-3141-3055)
쌍판댁 : 과일즙을 사용한 특별한 레시피로 만드는 무한리필 돼지갈비집 (02-334-5392)
치폴레옹 : 저렴한 가격에 독특한 치킨스테이크 메뉴를 접할 수 있는 맛집(02-313-2770)
율도참치 : 10년동안 자리를 지켜온, 푸짐하게 참치를 즐길 수 있는 참치전문점(02-392-6565)","호텔M : 마포구 백범로4길 14(02-703-8801)
Ever8레지던스 : 서대문구 신촌역로 7(02-6946-0808)
라뉘호텔 : 마포구 서강로길 20(02-711-3339)"
세빛둥둥섬,레저,"""공식 명칭은 '떠 있는 섬'이라는 뜻인 '플로팅 아일랜드(Floating Island)'이며, 2006년 9월 서울특별시에서 추진한 '한강 르네상스 프로젝트'의 일환으로 계획되었다. 이후 수익형 민자사업(BTO)으로 추진되어 2009년 4월에 착공, 2011년 5월 3일 한글 명칭을 세빛둥둥섬으로 확정하고 같은 달 21일에 전망공간을 개장하였다. 같은 해 11월 사업 재검토가 시작된 뒤 한동안 방치되었다가 2013년 9월 서울시와 최대 출자자인 (주)효성이 운영 정상화에 합의하여 내외부의 일부 공간을 개방하고, 2014년 10월 한글 명칭을 '세빛섬'으로 변경하면서 시설을 전면 개방하였다. 한글 명칭의 '세빛'은 서로 그 빛을 겹칠 때 가장 많은 색깔을 만들어내는 빛의 삼원색 빨강·파랑·초록처럼 3개의 섬이 조화를 이루어 한강과 서울을 빛내라는 바람을 담고 있고, '둥둥'은 수상에 띄워진 문화공간을 강조하는 의미를 담고 있다. 3개의 섬은 제1섬(비스타), 제2섬(비바), 제3섬(테라)으로 구분한다. 활짝 핀 꽃을 형상화한 제1섬은 건축연면적 5490㎡에 3층으로 이루어져 있으며, 국제회의·리셉션·제작발표회·마케팅 이벤트 등 다양한 행사를 할 수 있는 컨벤션홀과 레스토랑 등의 부대시설을 갖추고 있다. 꽃봉오리를 형상화한 제2섬은 건축연면적 3426㎡에 3층으로 이루어져 있으며, 공연·전시 등의 문화체험 행사와 콘퍼런스·세미나 등의 행사를 유치하는 공간으로 활용된다. 씨앗을 형상화한 제3섬은 건축연면적 1078㎡에 2층으로 이루어져 있으며, 수상레포츠 공간으로 활용된다. 이밖에 초대형 LED와 수상무대를 갖춘 미디어아트갤러리는 각종 행사 및 문화예술공간으로 활용된다.""","7호선 고속터미널역 6번 출구 ↔ 세빛섬 (순환 셔틀 버스)
3, 7, 9호선 고속터미널역 8-1번 출구 -> 반포대교 방향 -> 고속터미널 사거리(국민은행 건물)에서 우회전 후 직진 -> 잠수교 방향의 지하보도 이용
버스 9408, 9500, 9501, 9510, 9800, 9802, 142, 148, 360, 362, 462, 540, 640, 642, 643, 3414, 3422, 4212, 4318, 5413, 6411 (고속터미널 앞 하차) 143, 401, 406, 405, 740",서울특별시 서초구 올림픽대로 683(반포동),1566-3433(세빛),"가빛 시설별 상이
채빛 시설별 상이
솔빛 09:00-18:00
예빛 09:00-18:00","애플하우스 : 수요미식회에서 인정받은 즉석떡볶이 맛집 (02-595-1629)
비스타펍 : 분위기 좋은 루프탑에서 한강을 즐길 수 있는 캐주얼한 분위기의 펍 (02-537-2405)
면주방 : 맛있는 면요리를 즐길 수 있는 한식집(02-6282-3213)
산들해반포 : 스무가지 정도의 반찬이 무제한으로 제공되는 한정식 맛집(02-537-0113)","쉐라톤 서울 팔래스 호텔 : 서초구 사평대로 160(02-532-5000)
호텔프라임 : 서초구 사평대로2길 19-9(02-3477-4681)
어메이징하우스 : 용산구 보광로19길 17(010-9203-8612)"
뚝섬한강공원,산책로,"""한강공원이 조성되기 이전부터 강변유원지로 유명했던 곳으로 뚝섬한강공원에서는 여름레포츠인 모터보트, 수상스키, 윈드서핑, 수영장 등을 즐길 수 있다. 뚝도진, 뚝섬나루, 독백탄(禿白)으로도 불렸던 이곳은 이곳은 조선시대 부터 강남(현재의 강남구 청담동 지역)과 송파를 이어주던 나루터였다. 뚝섬 나루터 이외에도 이곳에는 낸딧벌 마을과 여꾸밭머리[1]라고 불렸던 들판이 있었다. 효종 때에 이곳에 경상도, 강원도의 세곡 운송을 위해 수세소를 설치하고 이 나루터에 선착장을 두었으며, 한강을 오가는 세곡선을 관리하며 경강상인들로부터 세를 받았다. 주위의 풍광이 수려하고 강물이 맑고 잔잔하여 유람지로서도 좋은 조건을 갖추어 예전에 국왕이 군대를 사열하던 곳이기도 하였다. 조선후기에는 강원도에서 오는 목재가 하역되는 곳으로 변하여 나라에서는 관리를 파견하여 세금을 징수한 적도 있다. 나라에서 제공하는 배는 없었고, 개인으로 운행되는 배가 있어서 통행료를 받고 운영되었다 1940년에 뚝섬 유원지가 건설된 이후 1970년에 영동대교가 건설되기 전까지도 뚝섬나루는 제 역할을 했었다. 1964년 신문 기사에 의하면, 뚝섬 나루터와 건너편 청숫골나루 사이를 하루 평균 5백 명의 시민들이 이용하였다고 한다. 새벽 4시부터 밤 11시까지 폭 5m, 길이 12m의 뗏목처럼 생긴 목선이 사람과 함께 가축과 자동차까지 실어 날랐으며, 청담, 삼성, 대치 마을에서 재배된 채소의 운반을 도맡았다고 했다.채소팔이하던 곳이 지금은 이렇게 발전할 줄 누가 알았을까 이렇게 목선으로 실어 나른 강남의 채소는 동대문-뚝섬 사이를 다녔던 궤도차로 재운반되어 동대문시장에 팔리곤 했으며, 때문에 채소를 팔던 아낙네들이 많이 이용했었다. 도선료는 4원이였으며, 강을 건너는데는 10분이 소요되었다고 한다. 당시 1969년 말 개통된 한남대교를 통과하는 시내버스 노선이 없어서 주변 시민들은 겨울철에는 얼어붙은 강을 걸어서 건너고, 봄이 되면 서울에서 유일하게 남아있던 나룻배를 타야 했다고 한다. 운송기능에 있어서 중요한 역할을 하였던 뚝섬 나루터는 1970년에 영동대교가 설립되면서 자연스레 기능을 상실했다. 현재는 뚝섬 나루터와 잠실 나루터 사이에 선착장을 마련해서 한강 유람선을 승선할 수 있게 되었다. ""","7호선 뚝섬유원지 4번 출구 도보 4분
버스 2221, 2222, 2415, 2014, 2412 (마을버스) 광진05",서울특별시 광진구 강변북로 139 한강사업본부뚝섬안내,02-3780-0521(뚝섬안내센터),24시간 연중무휴,"테이스티마켓 : 20여가지 정통 아시안음식을 즐길 수 있는 샤브샤브 뷔페 (050-7140-8845)
수유손칼국수 : 수타 손칼국수와 비법재료로 만든 김치가 인기인 칼국수 전문점 (02-905-9949)
더바스켓 : 떡볶이와 치킨을 함께 즐길 수 있는 독특한 치킨요리전문점(050-7465-6279)
무스쿠스 : 국내 최초로 해산물 중심의 고급 해산물 뷔페 레스토랑(02-2218-4500)","케이월드호텔 : 광진구 동일로 90(02-465-1141)
호텔A314 : 광진구 아차산로 314(02-454-0314)
더클래식500이그제큐티브레지던스펜타즈호텔 : 광진구 능동로 90 더클래식500(02-545-0015)"
인왕산,등산,"""인왕산에는 태조, 무학대사의 기도터와 사직터널에서 자하문까지 서울 외곽을 쌓았던 성곽이 남아 있다. 일제강점기에는 산 이름마저 왕(王)자를 쓰지 못하고‘인왕(仁旺)’으로 고쳤다가, 1995년에 와서야‘인왕(仁王)’이란 본래 이름을 되찾았다. 많은 사람들이 즐겨 찾는 코스는 사직터널을 출발 기점으로 성곽터와 정상을 지나 부암동으로 하산하는 코스다. 청와대 앞길과 연결되어 있어 여유가 된다면 팔판로, 효자로, 경복궁까지 걸어보는 것도 좋다. 사직공원 뒤에서 본격적인 등산로를 오르는 길목에는 황학정이 있다. 조선시대 궁술을 연습하던 터였지만 일제 때 경희궁 안에 있던 황학정이 이곳으로 옮겨졌다. 숲으로 둘러싸인 너른 터를 조팝꽃 군락이 눈부시게 장식하고 있다. 정상에 오르면 경복궁을 중심으로 인왕산과 함께 조선시대 한양을 둘러싸고 있던 내사산인 낙산, 남산, 백악산이 펼쳐진다. 정상 아래편에 겸재의 ‘인왕제색도’에 나오는 매바위와 치마바위가 장관을 이룬다. 사직공원에서 삼거리를 지나 오르는 코스에서는 점심시간을 이용해 산책을 즐기는 직장인들도 자주 보인다. 향긋한 내음이 풍기는 나무 계단을 지나 범바위에 오르면 동쪽으로 청와대 전경이 보인다. 종주 코스로 잡으려면 정상을 지나 홍제동 채석장이나 부암동 하림각, 자하문 방면으로 하산하면 된다. 성곽길은 오르는 길 자체보다도 뒤쪽 전망을 쉬엄쉬엄 돌아보며 걷기 좋은 코스다. 창의문을 지나 성곽 안쪽 길을 따라 쭉 걷다가 돌계단을 오르면 성곽 바깥으로 나가게 된다. 성곽 밖 길은 200m 정도 이어지는데 태조·세종·숙종 때 쌓은 것으로 전해지는 성돌들을 볼 수 있다. 성돌에 낀 거무스름한 이끼가 서울의 오랜 역사를 말해주는 듯하다. 다시 성 안쪽 길에 들어서서 숨을 몰아쉬며 계단길을 오르면 기다리고 있었다는 듯 다른 풍경이 펼쳐진다. 사방팔방이 탁 트인 전망과 함께 인왕산 정상이 눈에 들어온다. 인왕산의 미끈한 바위 표면 위로 탕춘대성이 능선을 따라 이어진다. 임진왜란과 병자호란 뒤 수도를 방어하기 위해 보강된 성곽으로 북한산성과 연결된다. 정상에 올라 삿갓바위 근처에 서면 서울을 둘러싼 산들과 한강 물줄기 사이로 빽빽하게 들어찬 빌딩숲이 보인다. 정상을 지나 청운동으로 내려가는 길의 성곽은 옛 모습을 그대로 간직하고 있어 성벽 원형의 아름다움을 만끽할 수 있다. ""","3호선 홍제역 1번 출구 -> 버스 서대문07 -> 개미마을 정류장에서 도보 1분
3호선 홍제역 1번 출구 -> 버스 서대문13, 서대문08 -> 문화촌현대아파트입구 정류장에서 도보 13분",서울특별시 종로구 무악동 산2-1,02-2148-2834(종로구청 공원녹지과),※매주 월요일과 공휴일 다음날은 입산 금지,"남도분식 : 남도지역의 향토음식을 젊은이들의 입맛에 맞게 변화를 준 맛집 (02-723-7775)
소소한풍경 : TV에도 다수 방영된 퓨전 한정식 메뉴를 즐길 수 있는 한정식 맛집 (02-395-5035)
부빙 : 신선한 과일을 사용하며, 옥수수빙수로 유명한 부암동 빙수 맛집(02-394-8288)
자하손만두 : 화학조미료를 일체 쓰지 않는 전통방식 만두를 맛볼 수 있는 곳(02-379-2648)","서촌 비앤비 스란 : 종로구 옥인길 32-2(02-720-1572)
조이하슬라 : 종로구 자하문로45길 16(02-395-6935)
더 플라자 : 중구 소공로 119(02-771-2200)"
여의도 한강공원,산책로,"""여의도한강공원은 정치, 금융, 언론의 중심지인 여의도에 자리하고 지하철, 버스 등 대중교통으로 접근성이 좋아 직장인과 일반시민들이 즐겨찾는 명소이자 봄꽃축제, 세계불꽃축제, 각종 공연 및 마라톤행사 등 다양한 행사가 이어져 볼거리와 즐길거리가 풍부한 휴식공간이다. 또한 밤섬, 여의도 샛강 등이 비교적 자연그대로 보존되어 있어 생태학습장 및 자연친화형 공원으로 조성되어 있다. 즐길거리로 물빛광장, 수상무대 및 수상분수, 빛의폭포, 너른들판, 천상계단, 피아노물길, 광역여객선선착장, 친수형스탠드, 페스티발랜드, 자연형 호안, 서울색공원 등을 이용할 수 있다.""","5호선 여의나루역 3번 출구 도보 3분
버스 261, 5534, 5618, 5633, 7611, 108, 262, 360, 461, 662, 753, 5713, 6623, 7007-1, 10, 5615, 7613, 108, 700",서울특별시 영등포구 여의동로 330 한강사업본부 여의도안내센터,02-3780-0561(여의도 한강공원),24시간 연중무휴,"정인면옥 : 2018 미쉐린 가이드에 소개되고 TV에도 다수 방영된 냉면 맛집 (02-2683-2615)
백리향 : 2018 미쉐린 가이드에 소개된 고품격 중식당 (02-789-5741)
희정식당 : 부대찌개와 T본모둠스테이크를 함께 즐길 수 있는 맛집(02-784-9213)
63뷔페 파빌리온 : kitchen, caf?, shop으로 3가지 서브 컨셉을 가진 뷔페(050-714-0057)","켄싱턴 호텔 : 영등포구 국회대로76길 16(02-6670-7000)
호텔 벤허 : 영등포구 국회대로72길 7(02-783-2233)
한국콘도 : 영등포구 국회대로74길 12 남중빌딩(1588-9337)"
구로 눈썰매장,레저,"""눈썰매 이외에도 7080년대 놀이 체험, 빙어잡이체험, 놀이기구 등을 함께 즐길 수 있는 구로 안양천에 위치한 눈썰매장이다. 최고급 자재의 ITT 아이스매트와 브라인 액체를 이용한 간접팽창냉열 형태의 브라인 (Brine) 결빙방식으로 빙판의 높은 안전도를 유지한다. 탈의실에서 아이스링크까지의 통로에 10mm 두께의 고무 매트를 설치하여 이동 시 보다 안전하고, 아이스링크 주위 벽면은 70mm두께의 스펀지를 장착했다. 오는 2월 18일(일)까지 운영하는 구로안양천 눈썰매장 오픈 시간은 오전 10시부터 오후 5시까지다. 기간 중 무휴 운영하며 입장료는 성인, 유아 동일하게 8000원이다. 눈썰매장의 경우 성인슬로프, 유아슬로프로 구분되어 운영하며 플라스틱썰매보관소에 비치된 플라스틱썰매를 이용한다. 유아슬로프 옆 눈밭은 눈놀이장이다. 한편 미니바이킹, 미니기차, 스윙거, 디스코팡팡, 유로번지를 갖춘 놀이공원의 경우 별도 이용료가 든다. 빙어잡이체험장의 경우 1인당 5000원의 체험료가 든다. 부대시설로 식당가, 의무실, 수유실, 기타 체험부스를 갖추고 있다. 구로안양천 눈썰매장은 구로구 안양천 인라인스케이트장을 활용해 겨울철 눈썰매장으로 이용하는 곳으로 아이들과 한나절 즐겁게 보내기 좋다. 눈썰매장 외에도 눈놀이장, 놀이공원, 빙어잡이체험도 동시에 진행해 하루 날 잡아 다양한 체험에 도전할 수 있다.""","1호선 구로역 3번 출구 도보 19분
2호선 도림천역 2번 출구 도보 16분
버스 571, 5630, 6516, 6613, 642 (기업은행구로 중앙지점 하차)",서울특별시 구로구 신도림동 285-34,02) 972-5765(구로 안양천 튜빙눈썰매장),10:00-17:00,"막창선생 : 꽃갈비살과 곱창, 막창을 함께 즐길 수 있는 곳 (050-7142-5007)
고향마차 : TV에도 방영된 삼겹김치전골이 유명한 실내포차 (050-7141-4644)
이조손칼국수 : 사골육수에 밀로 만든 칼국수로 만든 샤브샤브 칼국수가 대표 메뉴인 맛집(02-868-2633)
도리도리하찌 : 한방 재료로 정성들여 만든 닭볶음탕 맛집(02-2068-5058)","코코모 호텔 : 구로구 새말로 20(02-2229-5500)
대림레지던스 : 구로구 구로동로 226(070-7826-1620)
유장산 : 구로구 구로동로 5 9(010-2256-6256)"
롯데월드 아이스링크,레저,"""낮에는 롯데월드 어드벤처 유리돔 천정으로부터 들어오는 자연채광의 야외 분위기에서, 밤에는 테마파크 야경과 퍼레이드 축제의 즐거움을 만끽 할 수 있는 곳으로 롯데월드 내에 위치한 실내 아이스링크장이다. 최고급 자재의 ITT 아이스매트와 브라인 액체를 이용한 간접팽창냉열 형태의 브라인 (Brine) 결빙방식으로 빙판의 높은 안전도를 유지한다. 탈의실에서 아이스링크까지의 통로에 10mm 두께의 고무 매트를 설치하여 이동 시 보다 안전하며, 아이스링크 주위 벽면은 70mm두께의 스펀지를 장착하였다. 정빙차의 정기적인 가동으로 최상의 고른 빙질을 자랑한다. 롯데월드 어드벤처가 20일 마련한 ‘드림티켓’ 초청행사에 참여한 초록우산어린이재단 대전종합사회복지관 아이들 40여명이 무더위를 날리기 위해 롯데월드 아이스링크에서 스케이트를 타고 있다.  
이번 행사는 평소 방문이 쉽지 않은 테마파크에 오는 것을 꿈꿔왔던 아이들에게 특별한 하루를 선물하기 위해 마련됐으며 롯데월드는 여름방학 기간인 7~8월 두 달간 문화적 혜택이 적은 지역 아이들과 장애인 2천4백여 명을 롯데월드 어드벤처, 롯데월드 아쿠아리움, 서울스카이로 초청하는 특별 초청행사를 진행 중이다. ""","2호선, 8호선 잠실역 4번 출구 도보 5분
버스 3217, 3313, 3314, 3315, 3317, 3411, 3414, 4319, 1007-1, 1100, 1700, 2000, 6900, 7007, 8001, 301, 341, 360, 362",서울특별시 송파구 올림픽로 240,1661-2000(롯데월드아이스링크 고객센터),"월~금 11:00-21:30
토 10:00-22:30
일 10:00-21:30","빌즈 : 호주식커피와 호주식 라이프 스타일을 느낄 수 있는 호주식당 (050-7140-3418)
STAY : 2018 미쉐린 가이드에 소개된 멋진 전망을 가진 프랑스 음식점 (02-3213-1231)
클라우드비어스테이션 : 분위기 좋게 하우스맥주를 즐길 수 있는 수제맥주 전문 펍(02-2143-1034)
반고흐카페 : 반고흐 작품들을 전시해놓은 분위기 좋은 디저트 카페(02-3213-4181)","체리 : 송파구 오금로11길 11-15(02-420-3451)
케빈스테이 게스트하우스 : 송파구 올림픽로32길 37-12(010-3225-2235)
딜라이트호텔 : 송파구 오금로11길 21-9(02-414-1263)"
세계거리춤축제,축제,"""생활예술댄스의 장르별 네트워크와 동호회의 자생적 활동 및 자발적 참여환경을 조성하고, 커뮤니티를 기반으로 한 춤을 통해 서울 전역의 관계와 소통을 바탕으로 축제를 구성함으로써 새로운 형태의 시민주도형 생활예술댄스축제를 구현하고자 기획되었다. 사단법인 세계 거리춤 축제 위원회는 2018년 9월 8일 ~ 9일까지 이틀간 서울 동대문구 장안동 거리에서 <2018 제7회 세계 거리춤 축제>를 개최한다. 서울특별시, 동대문구가 후원하는 이번 행사는 동대문 춤 자랑, 스윙댄스와 함께하는 힐링 콘서트&파티, 스트리트 댄스와 함께하는 열정 콘서트&배틀 외 조지아, 브라질, 멕시코, 폴란드, 터키 5개국 민속춤과 아프리카 세이셸 공화국, 파키스탄, 인디언 전통춤 등 다양한 프로그램을 선보일 예정이다. 부대행사로는 맛자랑 음식 판매부스, 중소기업 제품 판매부스 운영 및 시민들이 자유롭게 참여할 수 있는 다양한 이벤트가 마련되어 있어 남녀노소 누구나 부담 없이 즐길 수 있는 신나는 축제의 장이 될 전망이다.""","5호선 장한평역 1번 출구 도보 2분
버스 9301, 6013, 130, 303, 370, 721, N30, 2221, 3216, 3220, 9403",서울특별시 동대문구 천호대로 405,02-2242-5151(세계거리춤축제 위원회),"첫째 날 14:00-22:00 
둘째 날 13:00-22:00 
※main stage와 substage 시간 상이","대한곱창 : 마마무 화사가 다녀가며 대박난 곱창, 막창 맛집 (02-2214-5207)
전국통일닭발 : 40년전통에 2대째 이어져 내려오는 매운 닭발 맛집 (050-7140-5405)
갈비명가이상 : 매장 규모가 크며 궁중생갈비를 맛볼 수 있는 갈비 전문점(050-7143-3820)
진미기사식당 : 택시기사님들 사이에서 유명한 기사식당(02-2213-6058)","바티카호텔 : 종로구 청계천로 341(02-741-7080)
창신기지 :종로구 종로48길 31(0504-0904-2002)
글로벌인 동대문 시티데이즈인 : 종로구 종로48길 12(02-744-4268)"
서울아리랑축제,축제,"""2012년 12월 5일, 우리의 자랑스러운 문화유산인 ‘아리랑’이 유네스코 인류무형문화유산으로 등재되었다. 등재 발표 직후 파리 유네스코 본부에서 중요무형문화재 제57호 경기민요 보유자인 이춘희 명창이 맑고 기품 있는 소리로 <본조 아리랑>을 부르던 광경은 지금도 회자되고 있다. 서울시와 서울아리랑페스티벌조직위원회는 ‘아리랑’의 유네스코 인류무형문화유산 등재 1년을 기념해 2013년 10월 ‘아리랑’을 중심축으로 국악을 비롯한 우리 전통문화예술의 향취를 맘껏 즐길 수 있는 ‘서울아리랑페스티벌’을 만들었다. 서울아리랑페스티벌은 가장 한국적인 콘텐츠만으로 축제를 만들어도 얼마나 재미있고 경쟁력있는지 보여주고자 한다. 또한 시민이 참여하고 함께 만들어가는 축제이기를 희망하며, '우리것을 발견하고, 배우고, 즐기자'를 서울아리랑페스티벌의 슬로건으로 삼고 있다. 역사와 문화가 공존하는 광화문광장에서 해마다 10월에 펼쳐지는 서울아리랑페스티벌을 통해 한국 문화의 진수가 담겨 있는 판소리, 탈춤, 사물놀이, 산대놀이, 씻김굿, 줄타기 등을 비롯해 록과 재즈, 오케스트라, 퍼포먼스 등과 만난 아리랑, 그리고 퍼레이드 등을 만나고 직접 체험할 수 있다.""","5호선 광화문역 9번 출구 도보 3분
버스 103, 150, 401, 402, 406, 700, 704, 707, 109, 606, 101, 160, 260, 270, 271, 273, 370, 470, 601, 720, 721, 705, 600, 602, 1711, 7016, 7018, 7022, 7212, 1020, 7019, 9401, 9703, 9701, 9709 
마을버스 종로09, 종로11",서울특별시 종로구 세종대로 지하 172,02-779-7805(서울아리랑페스티벌 위원회),"첫째 날 11:00-22:00 
둘째 날 10:00-22:00 
셋째 날 10:00-21:00","신성 : 다양한 반찬과 함께 즐길 수 있는 50년 내공 보리굴비 일식집(02-733-6671)
미진 : 미쉐린 가이드에 선정되고, 수요미식회에도 나온 메밀전문점(02-730-6198)
청진옥 : TV에 소개가 많이 되었던 손꼽히는 종로 해장국 맛집(02-735-1690)
돈까스백반 : TV에 3번이나 방영된 유명한 돈까스백반집(02-733-7339)","포시즌스호텔 서울 : 종로구 새문안로 97(02-6388-5000)
호스텔 와우: 종로구 새문안로5길 11-9(02-6263-6020)
샤프티이씨앤엘 : 종로구 종로 22 인주빌딩(02-724-7199)"
홍대 예술의거리,문화거리,"""홍대 예술의 거리는 홍대입구역 7번 출구를 출발하여 카페골목을 지나 와우산공원, 공민왕 사당, 벽화거리, 홍대앞 어린이놀이터, 걷고 싶은 거리, 홍대입구역으로 3.12㎞ 약 2시간 소요된다. 와우산공원은 전체가 근린공원으로 쉼터와 체육시설, 산책로 등을 아기자기하게 꾸며 놓았으며, 공민왕 사당은 조선 초 이곳 일대에 양곡 보관 창고를 지으려 할 때 동네 노인의 꿈에 나타난 공민왕의 계시에 따라 사당을 지었고, 매년 음력 10월 1일에 제사를 지낸다. 극동방송 뒤 골목을 따라 이어지는 벽화거리는 예술적인 분위기를 자아낼 뿐만 아니라 주변에 예쁜 카페들이 많아 한적한 분위기에서 벽화를 즐기며 산책하기에 좋은 곳이며, 젊은이의 거리로 알려진 홍대 걷고 싶은 거리는 홍대 거리문화, 홍대패션, 홍대카페 등 홍대를 대표하는 거리이며 볼거리와 먹거리 등이 다양하다.""","공항철도 홍대입구역 7, 9번 출입구 시작",서울특별시 마포구 서교동 어울마당로,02-1577-1234(서울지하철),,"소년식당 : 여러 TV 프로그램에 나온, 간장새우 맛집 (070-4111-7179)
윤씨밀방 : 백종원의 3대 천왕에 나온, 함박스테이크와 파스타 맛집 (02-3143-4116)
부야스 곱창 : 아이디어 상품인 컵창이 유명한, 돼지곱창 맛집(02-3144-4967)
혼가츠 : 여러 TV 프로그램에 나온, SNS에서 유명한 치즈 돈가스 맛집(02-322-8850)","호텔 디오레 : 마포구 동교로 162-7(02-332-2333)
나인브릭 호텔 : 마포구 홍익로5길 32(02-3141-8800)
드림하우스 : 마포구 잔다리로 78(02-336-7118)"
